date	user	intensity	diameter	power	factor	note
07-Jul-2020 15:40:40	Fred Rieke	1	575	397	0.0015288502057009	
05-Jul-2019 13:20:01	Fred Rieke	1	575	1260	0.00485227017426482	
05-Mar-2019 09:11:27	Fred Rieke	1	575	1640	0.00631565324269389	
02-Nov-2018 11:13:30	Fred Rieke	1	575	1313	0.00505637360222992	
28-Nov-2017 10:51:11	Max Turner	1	575	1220	0.00469822985127228	
11-Jul-2017 15:04:32	Fred Rieke	1	580	1625	0.00615045856181522	
11-Jul-2017 14:54:33	Fred Rieke	1	524	935	0.00433569931212989	
05-Jun-2017 13:41:25	Fred Rieke	1	580	1755	0.00664249524676044	
02-Dec-2016 11:32:27	Raunak Sinha	1	535	1900	0.00845193513842889	
02-Dec-2016 11:28:08	Raunak Sinha	1	535	1820	0.00809606418523188	
07-Jul-2020 15:42:12	Fred Rieke	1	575	620	0.00238762500638428	
