date	user	intensity	diameter	power	factor	note
02-Jun-2021 08:09:44	Fred Rieke	1	575	2295	0.00883806353169663	
25-May-2021 09:31:38	Fred Rieke	1	575	1860	0.00716287501915283	
12-Jan-2021 12:12:09	Fred Rieke	1	575	1980	0.00762499598813043	
25-Aug-2020 12:06:01	Fred Rieke	1	575	3000	0.01155302422444	
07-Jul-2020 15:40:01	Fred Rieke	1	575	3750	0.0144412802805501	
02-Mar-2020 14:49:42	Fred Rieke	1	575	2300	0.0088573185720707	
02-Dec-2019 17:16:38	Fred Rieke	1	575	2860	0.0110138830939662	
05-Jul-2019 13:19:49	Fred Rieke	1	575	3210	0.0123617359201508	
05-Mar-2019 09:10:52	Fred Rieke	1	575	4340	0.0167133750446899	
02-Nov-2018 11:13:59	Fred Rieke	1	575	3780	0.0145568105227945	
28-Nov-2017 10:50:27	Max Turner	1	575	3800	0.0146338306842907	
11-Jul-2017 15:04:01	Fred Rieke	1	580	3600	0.013625631275406	
11-Jul-2017 14:53:59	Fred Rieke	1	524	2050	0.00950607870573933	
05-Jun-2017 13:40:15	Fred Rieke	1	580	3600	0.013625631275406	
02-Dec-2016 11:32:40	Raunak Sinha	1	535	4130	0.0183718379587954	
02-Dec-2016 11:27:53	Raunak Sinha	1	535	3780	0.0168149025385585	
28-Dec-2021 13:49:51	Fred Rieke	1	575	1950	0.00750946574588603	
