date	user	intensity	diameter	power	factor	note
12-Jan-2021 14:19:07	Fred Rieke	1	700	38	9.87410259182371e-05	
12-Jan-2021 14:01:11	Fred Rieke	1	700	134	0.00034819203876431	
28-Dec-2020 16:51:52	Fred Rieke	1	660	123	0.000359523562907312	
03-Sep-2020 16:03:28	Fred Rieke	1	500	86	0.000437994403388896	
23-Jul-2020 16:59:41	Fred Rieke	1	400	19.7	0.000156767618945517	
23-Jul-2020 16:53:00	Fred Rieke	1	400	0.95	7.55985979686503e-06	
23-Jul-2020 16:45:57	Fred Rieke	1	400	0.75	5.96831036594608e-06	
23-Jul-2020 14:24:18	Fred Rieke	1	400	1.08	8.59436692696235e-06	
23-Jul-2020 14:22:07	Fred Rieke	1	400	25	0.000198943678864869	
23-Jul-2020 14:00:44	Fred Rieke	1	400	0.58	4.61549334966496e-06	
23-Jul-2020 13:38:55	Fred Rieke	1	400	580	0.00461549334966496	
23-Jul-2020 13:33:09	Fred Rieke	1	400	610	0.00485422576430281	
28-Dec-2021 14:02:03	Fred Rieke	1	700	34.3	8.91267681314614e-05	
