date	user	intensity	diameter	power	factor	note
02-Mar-2020 14:50:06	Fred Rieke	1	575	1330	0.00512184073950175	
02-Dec-2019 17:16:25	Fred Rieke	1	575	1270	0.00489078025501295	
05-Jul-2019 13:19:55	Fred Rieke	1	575	1430	0.00550694154698309	
05-Mar-2019 09:11:08	Fred Rieke	1	575	1070	0.00412057864005028	
02-Nov-2018 11:13:48	Fred Rieke	1	575	860	0.00331186694433948	
28-Nov-2017 10:50:48	Max Turner	1	575	668	0.00257247339397532	
22-Sep-2017 11:48:12	Max Turner	1	600	692	0.00244744934710204	
11-Jul-2017 15:04:18	Fred Rieke	1	580	1025	0.00387952001591421	
11-Jul-2017 14:54:18	Fred Rieke	1	524	590	0.00273589582262742	
05-Jun-2017 13:40:50	Fred Rieke	1	580	1096	0.00414824774384583	
02-Dec-2016 11:32:19	Raunak Sinha	1	535	1230	0.00547151590540397	
02-Dec-2016 11:28:02	Raunak Sinha	1	535	1210	0.00538254816710471	
07-Jul-2020 15:40:16	Fred Rieke	1	575	1430	0.00550694154698309	
