date	user	intensity	diameter	power	factor	note
04-Nov-2025 13:28:15	admin	1	500	639.5	0.00325694675543255	
13-Oct-2025 09:14:18	admin	1	500	639.6	0.00325745605125044	
06-Oct-2025 09:38:21	admin	1	500	637.6	0.00324727013489256	
03-Oct-2025 14:00:27	admin	1	500	640.5	0.00326203971361149	
23-Sep-2025 15:37:06	admin	1	500	146.3	0.000745099781579017	
23-Sep-2025 14:17:24	admin	1	500	175.2	0.000892286272950402	
17-Sep-2025 10:40:23	admin	1	500	9.75	4.96563422446714e-05	
13-Aug-2025 15:23:36	admin	1	500	59.98	0.00030547563157286	
28-Jul-2025 17:12:32	admin	1	500	51.29	0.000261217824997866	
12-May-2025 12:22:57	admin	1	500	95.1	0.000484340322817256	
03-Mar-2025 11:41:55	admin	1	500	54.4	0.000277056924934371	
03-Oct-2024 08:38:33	admin	1	500	8.6	4.37994403388896e-05	
07-Jun-2024 12:47:18	admin	1	500	11.5	5.85690190578175e-05	
22-Mar-2024 10:21:59	admin	1	500	15.7	7.99594434093682e-05	
21-Mar-2024 12:53:30	admin	1	500	117	0.000595876106936056	
18-Nov-2025 11:21:58	admin	1	500	649	0.00330532985813248	
