date	user	intensity	diameter	power	factor	note
21-Oct-2019 20:01:35	Mike Manookin	1	450	118	0.000741937117425922	
16-Sep-2019 15:48:51	Mike Manookin	1	450	119	0.000748224720115972	
27-Aug-2019 14:58:21	Mike Manookin	1	450	91	0.000572171844794567	
05-Jul-2019 09:47:05	Fred Rieke	1	450	112	0.000704211501285621	
24-Jun-2019 15:07:19	Mike Manookin	1	450	90	0.000565884242104517	
21-May-2019 16:52:41	Mike Manookin	1	450	119	0.000748224720115972	
07-Apr-2019 21:17:30	Mike Manookin	1	450	108	0.00067906109052542	
24-Mar-2019 22:35:52	Mike Manookin	1	450	130	0.000817388349706524	
30-Aug-2018 17:10:49	Fred Rieke	1	450	130.4	0.000819903390782544	
12-Jun-2018 12:46:57	Phil Mardoum	1	450	168	0.00105631725192843	
15-May-2018 15:40:06	Fred Rieke	1	470	129	0.000743539616436559	
26-Feb-2018 12:41:31	Phil Mardoum	1	460	162	0.000974786418937128	
25-Oct-2017 13:07:01	Phil Mardoum	1	460	179	0.00107707882092436	
09-Oct-2017 15:09:05	Fred Rieke	1	500	130	0.000662084563262285	
27-May-2017 13:45:32	Phil Mardoum	1	450	176	0.00110661807344883	
24-Apr-2017 12:33:11	Fred Rieke	1	580	147.1	0.000556758433503396	
25-Jan-2017 11:44:12	Phil Mardoum	1	460	157	0.000944700418352649	
09-Dec-2016 10:45:41	Raunak Sinha	1	520	181	0.000852279428983227	
06-Dec-2016 12:05:49	Phil Mardoum	1	470	158	0.000910691933309895	
06-Dec-2016 11:25:52	Phil Mardoum	1	470	124.4	0.000717025800656651	
06-Jan-2020 13:20:30	Mike Manookin	1	450	115	0.000723074309355771	
