date	user	intensity	diameter	power	factor	note
21-Oct-2019 19:57:02	Mike Manookin	1	450	3.1	1.94915683391556e-05	
16-Sep-2019 15:45:22	Mike Manookin	1	450	3.15	1.98059484736581e-05	
27-Aug-2019 14:55:47	Mike Manookin	1	450	2.5	1.57190067251255e-05	
05-Jul-2019 09:46:24	Fred Rieke	1	450	2.95	1.85484279356481e-05	
24-Jun-2019 15:02:49	Mike Manookin	1	450	2.35	1.47758663216179e-05	
21-May-2019 16:48:30	Mike Manookin	1	450	3.12	1.96173203929566e-05	
07-Apr-2019 21:14:10	Mike Manookin	1	450	2.77	1.7416659451439e-05	
24-Mar-2019 22:33:05	Mike Manookin	1	450	1.1	6.91636295905521e-06	
30-Aug-2018 17:10:16	Fred Rieke	1	450	3.38	2.12520970923696e-05	
12-Jun-2018 12:44:21	Phil Mardoum	1	450	4.33	2.72253196479173e-05	
15-May-2018 15:37:14	Fred Rieke	1	470	3.36	1.93666132653243e-05	
26-Feb-2018 12:39:34	Phil Mardoum	1	460	4.2	2.52722404909626e-05	
25-Oct-2017 13:04:44	Phil Mardoum	1	460	4.59	2.7618948536552e-05	
09-Oct-2017 15:07:36	Fred Rieke	1	500	3.42	1.7417916971977e-05	
27-May-2017 13:42:40	Phil Mardoum	1	450	4.49	2.82313360783253e-05	
24-Apr-2017 12:32:09	Fred Rieke	1	580	3.82	1.44583087422364e-05	
25-Jan-2017 11:41:55	Phil Mardoum	1	460	4.07	2.44900044757661e-05	
09-Dec-2016 10:47:25	Raunak Sinha	1	520	4.7	2.2131012796802e-05	
06-Dec-2016 12:00:07	Phil Mardoum	1	470	4.13	2.38047954719612e-05	
06-Dec-2016 11:22:17	Phil Mardoum	1	470	3.31	1.90784196155427e-05	
06-Jan-2020 13:18:16	Mike Manookin	1	450	3.1	1.94915683391556e-05	
