date	user	intensity	diameter	power	factor	note
21-Oct-2019 20:00:21	Mike Manookin	1	450	22.3	0.000140213539988119	
16-Sep-2019 15:47:30	Mike Manookin	1	450	22.6	0.000142099820795134	
27-Aug-2019 14:57:11	Mike Manookin	1	450	17.3	0.000108775526537868	
05-Jul-2019 09:46:38	Fred Rieke	1	450	21.2	0.000133297177029064	
24-Jun-2019 15:05:04	Mike Manookin	1	450	16.9	0.000106260485461848	
21-May-2019 16:51:27	Mike Manookin	1	450	22.6	0.000142099820795134	
07-Apr-2019 21:16:30	Mike Manookin	1	450	20.1	0.000126380814070009	
24-Mar-2019 22:33:45	Mike Manookin	1	450	20	0.000125752053801004	
30-Aug-2018 17:10:30	Fred Rieke	1	450	24.5	0.00015404626590623	
12-Jun-2018 12:46:09	Phil Mardoum	1	450	31.5	0.000198059484736581	
15-May-2018 15:38:29	Fred Rieke	1	470	24.3	0.000140062113793864	
26-Feb-2018 12:40:40	Phil Mardoum	1	460	30.5	0.000183524603565324	
25-Oct-2017 13:05:57	Phil Mardoum	1	460	33.4	0.000200974483904321	
09-Oct-2017 15:08:32	Fred Rieke	1	500	24.7	0.000125796067019834	
27-May-2017 13:44:17	Phil Mardoum	1	450	32.9	0.000206862128502651	
24-Apr-2017 12:32:42	Fred Rieke	1	580	27.7	0.000104841662869096	
25-Jan-2017 11:43:16	Phil Mardoum	1	460	29.5	0.000177507403448428	
09-Dec-2016 10:46:44	Raunak Sinha	1	520	34	0.000160096688317291	
06-Dec-2016 12:03:29	Phil Mardoum	1	470	30	0.000172916189868967	
06-Dec-2016 11:24:32	Phil Mardoum	1	470	23.9	0.000137756564595611	
06-Jan-2020 13:19:55	Mike Manookin	1	450	22.1	0.000138956019450109	
