date	user	intensity	diameter	power	factor	note
21-Oct-2019 20:02:56	Mike Manookin	1	500	17	8.65802890419911e-05	
16-Sep-2019 15:49:08	Mike Manookin	1	500	19	9.67662053998724e-05	
27-Aug-2019 14:58:31	Mike Manookin	1	500	13	6.62084563262285e-05	
24-Jun-2019 15:07:58	Mike Manookin	1	500	12.7	6.46805688725463e-05	
21-May-2019 16:53:51	Mike Manookin	1	500	17.6	8.96360639493555e-05	
07-Apr-2019 21:11:42	Mike Manookin	1	500	15.43	7.85843447010542e-05	
24-Mar-2019 22:36:02	Mike Manookin	1	500	17	8.65802890419911e-05	
30-Aug-2018 17:11:43	Fred Rieke	1	500	16.78	8.54598382426241e-05	
15-May-2018 15:40:26	Fred Rieke	1	500	16.25	8.27605704077856e-05	
09-Oct-2017 15:10:10	Fred Rieke	1	500	16.17	8.23531337534703e-05	
26-Jun-2017 14:18:53	Max Turner	1	500	20.2	0.000102877755214601	
03-Mar-2017 14:00:03	Will Grimes	1	330	41	0.000479364750543082	
06-Jan-2020 13:20:55	Mike Manookin	1	500	17	8.65802890419911e-05	
