date	user	intensity	diameter	power	factor	note
21-Oct-2019 19:58:53	Mike Manookin	1	500	0.07	3.56507072525846e-07	
16-Sep-2019 15:45:37	Mike Manookin	1	500	0.07	3.56507072525846e-07	
27-Aug-2019 14:56:24	Mike Manookin	1	500	0.05	2.54647908947033e-07	
24-Jun-2019 15:03:40	Mike Manookin	1	500	0.05	2.54647908947033e-07	
21-May-2019 16:49:45	Mike Manookin	1	500	0.07	3.56507072525846e-07	
07-Apr-2019 21:11:19	Mike Manookin	1	500	0.06	3.05577490736439e-07	
24-Mar-2019 22:33:19	Mike Manookin	1	500	0.1	5.09295817894065e-07	
30-Aug-2018 17:11:08	Fred Rieke	1	500	0.07	3.56507072525846e-07	
15-May-2018 15:37:42	Fred Rieke	1	500	0.06	3.05577490736439e-07	
09-Oct-2017 15:09:49	Fred Rieke	1	500	0.05	2.54647908947033e-07	
26-Jun-2017 14:17:59	Max Turner	1	500	0.07	3.56507072525846e-07	Re-positioned monitor a bit. Big drop in power since last calibration but RGB guns all seem to be fine
03-Mar-2017 13:59:35	Will Grimes	1	330	0.07	8.18427622878433e-07	
06-Jan-2020 13:18:57	Mike Manookin	1	500	0.07	3.56507072525846e-07	
