date	user	intensity	diameter	power	factor	note
21-Oct-2019 20:00:55	Mike Manookin	1	500	1.1	5.60225399683472e-06	
16-Sep-2019 15:47:40	Mike Manookin	1	500	1.2	6.11154981472878e-06	
27-Aug-2019 14:57:52	Mike Manookin	1	500	0.8	4.07436654315252e-06	
24-Jun-2019 15:05:59	Mike Manookin	1	500	0.82	4.17622570673133e-06	
21-May-2019 16:51:42	Mike Manookin	1	500	1.1	5.60225399683472e-06	
07-Apr-2019 21:11:30	Mike Manookin	1	500	0.96	4.88923985178302e-06	
24-Mar-2019 22:33:51	Mike Manookin	1	500	1	5.09295817894065e-06	
30-Aug-2018 17:11:24	Fred Rieke	1	500	1.04	5.29667650609828e-06	
15-May-2018 15:38:59	Fred Rieke	1	500	0.99	5.04202859715124e-06	
09-Oct-2017 15:10:00	Fred Rieke	1	500	1	5.09295817894065e-06	
26-Jun-2017 14:18:27	Max Turner	1	500	1.26	6.41712730546522e-06	
03-Mar-2017 13:59:49	Will Grimes	1	330	2.15	2.51374198455519e-05	
06-Jan-2020 13:20:09	Mike Manookin	1	500	1.1	5.60225399683472e-06	
