date	user	intensity	diameter	power	factor	note
21-Oct-2019 20:01:19	Mike Manookin	1	450	312	0.00196173203929566	
16-Sep-2019 15:48:24	Mike Manookin	1	450	318	0.00199945765543596	
27-Aug-2019 14:58:11	Mike Manookin	1	450	240	0.00150902464561204	
05-Jul-2019 09:45:02	Fred Rieke	1	450	291	0.0018296923828046	
24-Jun-2019 15:06:42	Mike Manookin	1	450	245	0.0015404626590623	
21-May-2019 16:52:12	Mike Manookin	1	450	310	0.00194915683391556	
07-Apr-2019 21:16:54	Mike Manookin	1	450	236	0.00148387423485184	
24-Mar-2019 22:34:40	Mike Manookin	1	450	500	0.00314380134502509	
30-Aug-2018 17:08:38	Fred Rieke	1	450	366	0.00230126258455837	
12-Jun-2018 12:46:35	Phil Mardoum	1	450	463	0.00291116004549324	
15-May-2018 15:39:50	Fred Rieke	1	470	363	0.0020922858974145	
26-Feb-2018 12:41:11	Phil Mardoum	1	460	413	0.00248510364827799	
25-Oct-2017 13:06:30	Phil Mardoum	1	460	446	0.00268367125213555	
09-Oct-2017 15:08:51	Fred Rieke	1	500	333	0.00169595507358724	
27-May-2017 13:44:52	Phil Mardoum	1	450	349	0.00219437333882752	
24-Apr-2017 12:31:10	Fred Rieke	1	580	294	0.00111275988749149	
25-Jan-2017 11:43:47	Phil Mardoum	1	460	387	0.0023286564452387	
09-Dec-2016 10:45:25	Raunak Sinha	1	520	438	0.00206242204361687	
06-Dec-2016 12:04:27	Phil Mardoum	1	470	386	0.00222485497631405	
06-Dec-2016 11:25:05	Phil Mardoum	1	470	314	0.00180985612062852	
06-Jan-2020 13:20:23	Mike Manookin	1	450	303	0.00190514361508521	
