date	user	intensity	diameter	power	factor	note
21-Oct-2019 19:56:35	Mike Manookin	1	450	11.75	7.38793316080897e-05	
16-Sep-2019 15:44:36	Mike Manookin	1	450	12.5	7.85950336256273e-05	
27-Aug-2019 14:55:18	Mike Manookin	1	450	9.41	5.91663413133723e-05	
05-Jul-2019 09:44:27	Fred Rieke	1	450	11.4	7.16786706665721e-05	
24-Jun-2019 15:02:13	Mike Manookin	1	450	9.63	6.05496139051833e-05	
21-May-2019 16:47:44	Mike Manookin	1	450	12.03	7.56398603613037e-05	
07-Apr-2019 21:13:48	Mike Manookin	1	450	8.98	5.64626721566507e-05	
24-Mar-2019 22:30:06	Mike Manookin	1	450	7	4.40132188303513e-05	
30-Aug-2018 17:07:01	Fred Rieke	1	450	13.39	8.4191000019772e-05	
12-Jun-2018 12:43:57	Phil Mardoum	1	450	16.76	0.000105380221085241	
15-May-2018 15:36:23	Fred Rieke	1	470	14.25	8.21351901877595e-05	
26-Feb-2018 12:39:10	Phil Mardoum	1	460	15.56	9.36276338188995e-05	
25-Oct-2017 13:04:06	Phil Mardoum	1	460	17.45	0.000105000142039833	
09-Oct-2017 15:06:06	Fred Rieke	1	500	14.15	7.20653582320102e-05	
27-May-2017 13:42:03	Phil Mardoum	1	450	13.62	8.56371486384835e-05	
24-Apr-2017 12:30:12	Fred Rieke	1	580	11.73	4.43968485723646e-05	
25-Jan-2017 11:41:17	Phil Mardoum	1	460	14.73	8.86333577218759e-05	
09-Dec-2016 10:47:04	Raunak Sinha	1	520	17.2	8.09900893840414e-05	
06-Dec-2016 11:59:16	Phil Mardoum	1	470	15.83	9.12421095208584e-05	
06-Dec-2016 11:21:23	Phil Mardoum	1	470	12.88	7.42386841837433e-05	
06-Jan-2020 13:17:53	Mike Manookin	1	450	12.05	7.57656124151048e-05	
