date	user	intensity	diameter	power	factor	note
21-Oct-2019 20:00:05	Mike Manookin	1	450	32.8	0.000206233368233646	
16-Sep-2019 15:46:49	Mike Manookin	1	450	33.3	0.000209377169578671	
27-Aug-2019 14:56:50	Mike Manookin	1	450	25	0.000157190067251255	
05-Jul-2019 09:44:47	Fred Rieke	1	450	30.3	0.000190514361508521	
24-Jun-2019 15:04:16	Mike Manookin	1	450	25.5	0.00016033386859628	
21-May-2019 16:51:11	Mike Manookin	1	450	32.2	0.000202460806619616	
07-Apr-2019 21:15:55	Mike Manookin	1	450	24.5	0.00015404626590623	
24-Mar-2019 22:30:17	Mike Manookin	1	450	18	0.000113176848420903	
30-Aug-2018 17:08:22	Fred Rieke	1	450	37.1	0.000233270059800862	
12-Jun-2018 12:45:47	Phil Mardoum	1	450	47.2	0.000296774846970369	
15-May-2018 15:38:05	Fred Rieke	1	470	37.5	0.000216145237336209	
26-Feb-2018 12:40:07	Phil Mardoum	1	460	40.24	0.000242132132703889	
25-Oct-2017 13:05:21	Phil Mardoum	1	460	46.3	0.000278596365412278	
09-Oct-2017 15:08:14	Fred Rieke	1	500	34.8	0.000177234944627135	
27-May-2017 13:43:47	Phil Mardoum	1	450	36.2	0.000227611217379817	
24-Apr-2017 12:30:34	Fred Rieke	1	580	30.5	0.000115439376083301	
25-Jan-2017 11:42:41	Phil Mardoum	1	460	39.5	0.000237679404617386	
09-Dec-2016 10:46:29	Raunak Sinha	1	520	45.4	0.000213776166164854	
06-Dec-2016 12:02:32	Phil Mardoum	1	470	40	0.00023055491982529	
06-Dec-2016 11:23:41	Phil Mardoum	1	470	32.3	0.000186173097758921	
06-Jan-2020 13:19:40	Mike Manookin	1	450	31.7	0.000199317005274591	
