date	user	intensity	diameter	power	factor	note
21-Oct-2019 20:01:25	Mike Manookin	1	450	128	0.000804813144326424	
16-Sep-2019 15:48:29	Mike Manookin	1	450	127	0.000798525541636374	
27-Aug-2019 14:58:16	Mike Manookin	1	450	103	0.000647623077075169	
05-Jul-2019 09:46:05	Fred Rieke	1	450	131.6	0.000827448514010605	
24-Jun-2019 15:07:01	Mike Manookin	1	450	118	0.000741937117425922	
21-May-2019 16:52:34	Mike Manookin	1	450	133	0.000836251157776675	
07-Apr-2019 21:17:24	Mike Manookin	1	450	135	0.000848826363156775	
24-Mar-2019 22:35:42	Mike Manookin	1	450	86	0.000540733831344316	
30-Aug-2018 17:09:51	Fred Rieke	1	450	146.5	0.000921133794092352	
12-Jun-2018 12:46:47	Phil Mardoum	1	450	177	0.00111290567613888	
15-May-2018 15:39:59	Fred Rieke	1	470	141	0.000812706092384146	
26-Feb-2018 12:41:21	Phil Mardoum	1	460	150	0.000902580017534378	
25-Oct-2017 13:06:39	Phil Mardoum	1	460	184	0.00110716482150884	
09-Oct-2017 15:08:58	Fred Rieke	1	500	144	0.000733385977767454	
27-May-2017 13:45:15	Phil Mardoum	1	450	196	0.00123237012724984	
24-Apr-2017 12:33:03	Fred Rieke	1	580	177.3	0.000671062340313747	
25-Jan-2017 11:43:57	Phil Mardoum	1	460	176	0.00105902722057367	
09-Dec-2016 10:45:34	Raunak Sinha	1	520	194	0.000913492868633956	
06-Dec-2016 12:04:45	Phil Mardoum	1	470	169	0.000974094536261849	
06-Dec-2016 11:25:31	Phil Mardoum	1	470	137	0.000789650600401617	
06-Jan-2020 13:20:26	Mike Manookin	1	450	123	0.000773375130876173	
