date	user	intensity	diameter	power	factor	note
21-Oct-2019 19:56:54	Mike Manookin	1	450	1.38	8.67689171226926e-06	
16-Sep-2019 15:44:57	Mike Manookin	1	450	1.39	8.73976773916976e-06	
27-Aug-2019 14:55:37	Mike Manookin	1	450	1.11	6.97923898595571e-06	
05-Jul-2019 09:45:25	Fred Rieke	1	450	1.43	8.99127184677177e-06	
24-Jun-2019 15:02:31	Mike Manookin	1	450	1.31	8.23675952396574e-06	
21-May-2019 16:48:14	Mike Manookin	1	450	1.45	9.11702390057277e-06	
07-Apr-2019 21:14:04	Mike Manookin	1	450	1.46	9.17989992747327e-06	
24-Mar-2019 22:32:24	Mike Manookin	1	450	1.2	7.54512322806022e-06	
30-Aug-2018 17:09:09	Fred Rieke	1	450	1.57	9.87153622337879e-06	
12-Jun-2018 12:44:10	Phil Mardoum	1	450	1.84	1.15691889496923e-05	
15-May-2018 15:36:58	Fred Rieke	1	470	1.55	8.93400314322998e-06	
26-Feb-2018 12:39:25	Phil Mardoum	1	460	1.63	9.80803619054024e-06	
25-Oct-2017 13:04:21	Phil Mardoum	1	460	1.97	1.18538842302848e-05	
09-Oct-2017 15:07:23	Fred Rieke	1	500	1.63	8.30152183167326e-06	
27-May-2017 13:42:22	Phil Mardoum	1	450	2.04	1.28267094877024e-05	
24-Apr-2017 12:31:30	Fred Rieke	1	580	1.93	7.30485232264823e-06	
25-Jan-2017 11:41:40	Phil Mardoum	1	460	1.91	1.14928522232711e-05	
09-Dec-2016 10:47:14	Raunak Sinha	1	520	2.2	1.03591974793541e-05	
06-Dec-2016 11:59:38	Phil Mardoum	1	470	1.96	1.12971910714392e-05	
06-Dec-2016 11:22:03	Phil Mardoum	1	470	1.61	9.27983552296791e-06	
06-Jan-2020 13:18:05	Mike Manookin	1	450	1.37	8.61401568536876e-06	
