date	user	intensity	diameter	power	factor	note
21-Oct-2019 20:00:13	Mike Manookin	1	450	17.2	0.000108146766268863	
16-Sep-2019 15:47:15	Mike Manookin	1	450	17.5	0.000110033047075878	
27-Aug-2019 14:57:04	Mike Manookin	1	450	14.1	8.86551979297076e-05	
05-Jul-2019 09:45:47	Fred Rieke	1	450	17.9	0.000112548088151898	
24-Jun-2019 15:04:26	Mike Manookin	1	450	16.1	0.000101230403309808	
21-May-2019 16:51:16	Mike Manookin	1	450	18	0.000113176848420903	
07-Apr-2019 21:16:16	Mike Manookin	1	450	18.2	0.000114434368958913	
24-Mar-2019 22:32:49	Mike Manookin	1	450	10	6.28760269005019e-05	
30-Aug-2018 17:09:31	Fred Rieke	1	450	19.77	0.000124305905182292	
12-Jun-2018 12:45:56	Phil Mardoum	1	450	23.3	0.000146501142678169	
15-May-2018 15:38:16	Fred Rieke	1	470	19.3	0.000111242748815702	
26-Feb-2018 12:40:25	Phil Mardoum	1	460	20.3	0.000122149162372986	
25-Oct-2017 13:05:42	Phil Mardoum	1	460	24.7	0.000148624842887328	
09-Oct-2017 15:08:24	Fred Rieke	1	500	19.9	0.000101349867760919	
27-May-2017 13:44:07	Phil Mardoum	1	450	26.1	0.00016410643021031	
24-Apr-2017 12:32:30	Fred Rieke	1	580	24	9.08375418360401e-05	
25-Jan-2017 11:42:57	Phil Mardoum	1	460	23.7	0.000142607642770432	
09-Dec-2016 10:46:38	Raunak Sinha	1	520	26.6	0.000125252114977645	
06-Dec-2016 12:03:13	Phil Mardoum	1	470	23.6	0.000136027402696921	
06-Dec-2016 11:24:08	Phil Mardoum	1	470	19.39	0.000111761497385309	
06-Jan-2020 13:19:45	Mike Manookin	1	450	16.5	0.000103745444385828	
